id	lineage	predicted	native	confirmatory
C3X-P12-INSTRUMENT	RESEARCH_LAB	TRANSPORT_PASS	TRANSPORT_PASS	1
P30-W01	RESEARCH_LAB	TRANSPORT_FAIL	TRANSPORT_FAIL	1
P30-W02	RESEARCH_LAB	TRANSPORT_FAIL	TRANSPORT_FAIL	1
P30-W03	RESEARCH_LAB	TRANSPORT_FAIL	TRANSPORT_FAIL	1
P30-W04	RESEARCH_LAB	TRANSPORT_FAIL	TRANSPORT_FAIL	1
P30-W05	RESEARCH_LAB	TRANSPORT_FAIL	TRANSPORT_FAIL	1
P30-W06	RESEARCH_LAB	TRANSPORT_FAIL	TRANSPORT_FAIL	1
HWPX-R2-INSERT-ACCEPT	ENGINEERING_DEVELOPMENT	TRANSPORT_PASS	TRANSPORT_PASS	1
HWPX-R2-INSERT-REJECT	ENGINEERING_DEVELOPMENT	TRANSPORT_PASS	HOLD_UNTESTED	1
HWPX-R2-DELETE-REPLACE-BOUNDED	ENGINEERING_DEVELOPMENT	TRANSPORT_PASS	TRANSPORT_PASS	1
HWPX-R2-PROTECTED	ENGINEERING_DEVELOPMENT	HOLD_UNTESTED	HOLD_UNTESTED	1
HWPX-R2-SELECTIVE	ENGINEERING_DEVELOPMENT	OUT_OF_SCOPE	OUT_OF_SCOPE	1
HWPX-R3-GROUP	ENGINEERING_DEVELOPMENT	TRANSPORT_PASS	TRANSPORT_PASS	1
HWPX-R3-UNGROUP	ENGINEERING_DEVELOPMENT	TRANSPORT_PASS	TRANSPORT_PASS	1
HWPX-R3-UNGROUP-TRANSLATED	ENGINEERING_DEVELOPMENT	TRANSPORT_PASS	TRANSPORT_PASS	1
HWPX-R3-ROTATED-SCALED-NESTED	ENGINEERING_DEVELOPMENT	OUT_OF_SCOPE	OUT_OF_SCOPE	1
