constant	year	value	uncertainty	unit
G	2010	6.67384e-11	8.0e-15	m^3 kg^-1 s^-2
G	2014	6.67408e-11	3.1e-15	m^3 kg^-1 s^-2
G	2018	6.67430e-11	1.5e-15	m^3 kg^-1 s^-2
G	2022	6.67430e-11	1.5e-15	m^3 kg^-1 s^-2
alpha	2010	7.2973525698e-3	2.4e-12	1
alpha	2014	7.2973525664e-3	1.7e-12	1
alpha	2018	7.2973525693e-3	1.1e-12	1
alpha	2022	7.2973525643e-3	1.1e-12	1
m_e	2010	9.10938291e-31	4.0e-38	kg
m_e	2014	9.10938356e-31	1.1e-38	kg
m_e	2018	9.1093837015e-31	2.8e-40	kg
m_e	2022	9.1093837139e-31	2.8e-40	kg
m_p	2010	1.672621777e-27	7.4e-35	kg
m_p	2014	1.672621898e-27	2.1e-35	kg
m_p	2018	1.67262192369e-27	5.1e-37	kg
m_p	2022	1.67262192595e-27	5.2e-37	kg
R_inf	2010	10973731.568539	0.000055	m^-1
R_inf	2014	10973731.568508	0.000065	m^-1
R_inf	2018	10973731.568160	0.000021	m^-1
R_inf	2022	10973731.568157	0.000012	m^-1
mu0	2010	1.2566370614359173e-6	0	N A^-2
mu0	2014	1.2566370614359173e-6	0	N A^-2
mu0	2018	1.25663706212e-6	1.9e-16	N A^-2
mu0	2022	1.25663706127e-6	2.0e-16	N A^-2
