constant	triangle	z_ab	z_bc	z_ac	ab	bc	ac	composition_candidate
G	2010-2014-2018	0.279732	0.638823	0.565152	PASS	PASS	PASS	YES
G	2014-2018-2022	0.638823	0.000000	0.638823	PASS	PASS	PASS	YES
alpha	2010-2014-2018	1.156035	1.432208	0.189388	FAIL	FAIL	PASS	NO
alpha	2014-2018-2022	1.432208	3.214122	1.037116	FAIL	FAIL	FAIL	NO
m_e	2010-2014-2018	1.566834	1.285947	1.978702	FAIL	FAIL	FAIL	NO
m_e	2014-2018-2022	1.285947	3.131473	1.398638	FAIL	FAIL	FAIL	NO
m_p	2010-2014-2018	1.573021	1.222973	1.982250	FAIL	FAIL	FAIL	NO
m_p	2014-2018-2022	1.222973	3.102885	1.330545	FAIL	FAIL	FAIL	NO
R_inf	2010-2014-2018	0.364077	5.094560	6.437612	PASS	FAIL	FAIL	NO
R_inf	2014-2018-2022	5.094560	0.123988	5.310244	FAIL	PASS	FAIL	NO
mu0	2010-2014-2018	0.000000	3.600435	3.600435	PASS	FAIL	FAIL	NO
mu0	2014-2018-2022	3.600435	3.081247	0.829586	FAIL	FAIL	PASS	NO
